id,survey_year,job_title,job_category,experience_level,education_level,country,continent,currency,company_size,industry,employment_type,work_setting,base_salary_usd,annual_bonus_usd,stock_grant_usd,total_compensation_usd,job_satisfaction,years_at_company,primary_skills,ai_adoption_level,gender,salary_usd,seniority_name,seniority_code,seniority_id,ubicacion_id,work_setting_id,gender_id,tecnologia_principal,tecnologia_id,categoria_principal
209,2020,AI Product Manager,Management,Senior (6-10 yrs),Bachelor's,Saudi Arabia,Asia,SAR,Large (1001-10000),E-Commerce & Retail,Full-time,On-site,145600,5700,0,151300,4.4,0,Hugging Face; JavaScript; Scala,,Male,145600,Senior,3.0,3.0,11,3,1.0,Hugging Face,10,AI/ML
210,2024,NLP Engineer,Machine Learning,Senior (6-10 yrs),PhD,Poland,Europe,PLN,Enterprise (10000+),Technology,Full-time,On-site,194300,16600,0,210900,3.8,0,GCP; PyTorch; Rust; Azure; Docker,AI-First,Male,194300,Senior,3.0,3.0,14,3,1.0,GCP,12,Cloud
211,2024,AI Product Manager,Management,Mid (3-5 yrs),Master's,Canada,North America,CAD,Medium (201-1000),Technology,Freelance,Hybrid,192000,12200,0,204200,3.9,0,Hugging Face; TensorFlow,AI-First,Female,192000,Mid,2.0,2.0,10,2,2.0,Hugging Face,10,AI/ML
212,2025,Business Intelligence Analyst,Data Science,Mid (3-5 yrs),Bachelor's,United Kingdom,Europe,GBP,Large (1001-10000),Technology,Full-time,Remote,137900,0,0,137900,2.9,0,Hadoop; PyTorch,Significant,Male,137900,Mid,2.0,2.0,6,1,1.0,Hadoop,5,Data
213,2023,Business Intelligence Analyst,Data Science,Entry (0-2 yrs),Bachelor's,UAE,Asia,AED,Enterprise (10000+),Finance & Banking,Full-time,Hybrid,67000,8200,5300,80500,3.6,0,Scala; TensorFlow; Kafka,Partial,Female,67000,Junior,1.0,1.0,18,2,2.0,Scala,2,Otra
214,2022,DevOps Engineer,Software Engineering,Entry (0-2 yrs),Master's,India,Asia,INR,Medium (201-1000),Education & Research,Full-time,Hybrid,15500,800,0,16300,3.9,1,Azure; Hugging Face,Experimenting,Male,15500,Junior,1.0,1.0,3,2,1.0,Azure,7,Cloud
215,2023,AI Research Scientist,Machine Learning,Mid (3-5 yrs),PhD,Singapore,Asia,SGD,Large (1001-10000),Technology,Full-time,Remote,290400,18500,49900,358800,4.1,0,Spark; Airflow,Experimenting,Male,290400,Mid,2.0,2.0,15,1,1.0,Spark,14,Data
216,2023,Frontend Developer,Software Engineering,Entry (0-2 yrs),Master's,India,Asia,INR,Startup (1-50),Finance & Banking,Freelance,Remote,25600,1500,7200,34300,3.6,2,Spark; C++; OpenCV; Rust,Significant,Female,25600,Junior,1.0,1.0,3,1,2.0,Spark,14,Data
217,2022,Frontend Developer,Software Engineering,Lead (11-15 yrs),Bachelor's,United States,North America,USD,Large (1001-10000),Technology,Full-time,Remote,253100,32500,0,285600,4.2,2,LangChain; dbt,,Female,253100,Lead,4.0,4.0,5,1,2.0,LangChain,21,AI/ML
218,2024,Prompt Engineer,Machine Learning,Mid (3-5 yrs),Master's,Singapore,Asia,SGD,Large (1001-10000),Education & Research,Full-time,Hybrid,126800,13400,0,140200,3.9,0,Docker; Rust; JavaScript; TensorFlow,Significant,Female,126800,Mid,2.0,2.0,15,2,2.0,Docker,11,Cloud
219,2022,Data Engineer,Data Engineering,Executive (16+ yrs),Master's,United States,North America,USD,Enterprise (10000+),Energy & Utilities,Full-time,Hybrid,386100,25700,0,411800,3.2,4,SQL; PyTorch; Rust; Excel; Airflow,AI-First,Female,386100,No especificado,0.0,0.0,5,2,2.0,SQL,9,Database
220,2021,Product Manager (Tech),Management,Lead (11-15 yrs),Master's,Netherlands,Europe,EUR,Enterprise (10000+),Automotive,Full-time,Hybrid,258600,26200,0,284800,4.4,0,TensorFlow; Rust; Kubernetes; Hadoop; Kafka,,Female,258600,Lead,4.0,4.0,9,2,2.0,TensorFlow,25,AI/ML
221,2023,NLP Engineer,Machine Learning,Senior (6-10 yrs),Master's,United Kingdom,Europe,GBP,Large (1001-10000),E-Commerce & Retail,Full-time,On-site,232500,9400,91500,333400,2.6,2,OpenCV; dbt; GCP,Experimenting,Male,232500,Senior,3.0,3.0,6,3,1.0,OpenCV,8,AI/ML
222,2021,Business Intelligence Analyst,Data Science,Senior (6-10 yrs),PhD,France,Europe,EUR,Enterprise (10000+),Education & Research,Full-time,Hybrid,112800,18000,9900,140700,3.8,3,Kubernetes; Hugging Face; PyTorch; Spark,Experimenting,Male,112800,Senior,3.0,3.0,1,2,1.0,Kubernetes,15,Cloud
223,2025,Cybersecurity Analyst,Cybersecurity,Senior (6-10 yrs),Master's,United States,North America,USD,Large (1001-10000),E-Commerce & Retail,Full-time,Remote,226200,23100,0,249300,4.6,6,Kubernetes; R; Scala; JavaScript,Partial,Prefer not to say,226200,Senior,3.0,3.0,5,1,0.0,Kubernetes,15,Cloud
224,2025,Cloud Architect,Software Engineering,Lead (11-15 yrs),Bachelor's,United States,North America,USD,Small (51-200),Technology,Full-time,On-site,286600,23500,44500,354600,3.6,3,Rust; JavaScript; LangChain; C++; Tableau,Significant,Male,286600,Lead,4.0,4.0,5,3,1.0,Rust,23,Backend
225,2024,Data Analyst,Data Science,Mid (3-5 yrs),Master's,United States,North America,USD,Medium (201-1000),Finance & Banking,Full-time,Remote,137000,3000,0,140000,4.4,0,PyTorch; LangChain,Significant,Male,137000,Mid,2.0,2.0,5,1,1.0,PyTorch,19,AI/ML
226,2024,Generative AI Engineer,Machine Learning,Mid (3-5 yrs),Bachelor's,France,Europe,EUR,Enterprise (10000+),Finance & Banking,Full-time,Hybrid,154000,10000,9000,173000,3.2,0,TensorFlow; Docker,Significant,Male,154000,Mid,2.0,2.0,1,2,1.0,TensorFlow,25,AI/ML
227,2022,Robotics Engineer,Machine Learning,Mid (3-5 yrs),Bachelor's,Poland,Europe,PLN,Enterprise (10000+),Finance & Banking,Freelance,On-site,84000,0,0,84000,3.4,1,Go; Kafka; Scala,Experimenting,Male,84000,Mid,2.0,2.0,14,3,1.0,Go,20,Backend
228,2023,Data Engineer,Data Engineering,Senior (6-10 yrs),Bachelor's,United Kingdom,Europe,GBP,Startup (1-50),Media & Entertainment,Full-time,Hybrid,143500,6000,0,149500,2.3,0,Excel; OpenCV,,Female,143500,Senior,3.0,3.0,6,2,2.0,Excel,24,Data
229,2022,Frontend Developer,Software Engineering,Mid (3-5 yrs),Master's,United States,North America,USD,Large (1001-10000),Technology,Full-time,Remote,176900,15800,22500,215200,3.8,2,Power BI; Airflow; Scala; Kubernetes,Significant,Male,176900,Mid,2.0,2.0,5,1,1.0,Power BI,4,Data
230,2024,Data Engineer,Data Engineering,Senior (6-10 yrs),Master's,United States,North America,USD,Medium (201-1000),E-Commerce & Retail,Part-time,Hybrid,113300,10300,0,123600,3.0,7,TensorFlow; C++; R; GCP; AWS,AI-First,Female,113300,Senior,3.0,3.0,5,2,2.0,TensorFlow,25,AI/ML
231,2023,Computer Vision Engineer,Machine Learning,Senior (6-10 yrs),Master's,United States,North America,USD,Enterprise (10000+),Energy & Utilities,Full-time,Remote,382100,21900,0,404000,2.9,8,Rust; Excel,Experimenting,Prefer not to say,382100,Senior,3.0,3.0,5,1,0.0,Rust,23,Backend
232,2022,Cloud Architect,Software Engineering,Senior (6-10 yrs),Bachelor's,United States,North America,USD,Enterprise (10000+),Energy & Utilities,Full-time,Hybrid,262400,35700,34200,332300,3.5,0,Python; Scala,Significant,Male,262400,Senior,3.0,3.0,5,2,1.0,Python,13,Backend
233,2022,Cloud Architect,Software Engineering,Mid (3-5 yrs),Bachelor's,Israel,Asia,ILS,Large (1001-10000),Finance & Banking,Full-time,Remote,199200,8100,0,207300,4.3,1,Airflow; AWS; Hugging Face; Kubernetes; Excel,AI-First,Male,199200,Mid,2.0,2.0,13,1,1.0,Airflow,22,DevOps
234,2021,Database Administrator,Data Engineering,Lead (11-15 yrs),Master's,United States,North America,USD,Small (51-200),Finance & Banking,Full-time,Hybrid,203600,23200,65100,291900,3.9,4,LangChain; Spark; Power BI; Python; dbt,AI-First,Female,203600,Lead,4.0,4.0,5,2,2.0,LangChain,21,AI/ML
235,2025,Cybersecurity Analyst,Cybersecurity,Entry (0-2 yrs),Bachelor's,South Korea,Asia,KRW,Medium (201-1000),Technology,Full-time,Remote,59600,6100,0,65700,3.5,2,dbt; PyTorch; Azure,Partial,Female,59600,Junior,1.0,1.0,16,1,2.0,dbt,6,Database
236,2020,Robotics Engineer,Machine Learning,Mid (3-5 yrs),Bachelor's,France,Europe,EUR,Large (1001-10000),E-Commerce & Retail,Freelance,On-site,109700,1000,0,110700,3.3,0,Excel; C++,Partial,Male,109700,Mid,2.0,2.0,1,3,1.0,Excel,24,Data
237,2023,MLOps Engineer,Machine Learning,Mid (3-5 yrs),Bachelor's,United States,North America,USD,Small (51-200),Government & Defense,Full-time,Remote,121800,14900,14600,151300,3.3,2,SQL; Docker; Hugging Face,Partial,Male,121800,Mid,2.0,2.0,5,1,1.0,SQL,9,Database
238,2023,Full Stack Developer,Software Engineering,Mid (3-5 yrs),Master's,United States,North America,USD,Large (1001-10000),Technology,Full-time,Remote,185400,15500,29400,230300,3.3,1,Azure; GCP; JavaScript; Excel,Significant,Non-binary,185400,Mid,2.0,2.0,5,1,3.0,Azure,7,Cloud
239,2022,Machine Learning Engineer,Machine Learning,Senior (6-10 yrs),Master's,Japan,Asia,JPY,Medium (201-1000),Telecommunications,Full-time,On-site,134300,400,0,134700,2.5,2,LangChain; dbt,Experimenting,Male,134300,Senior,3.0,3.0,8,3,1.0,LangChain,21,AI/ML
240,2024,Software Engineer,Software Engineering,Mid (3-5 yrs),Master's,Canada,North America,CAD,Startup (1-50),Media & Entertainment,Full-time,Hybrid,114000,7400,7300,128700,3.8,1,Power BI; JavaScript; Java; Hadoop,Experimenting,Female,114000,Mid,2.0,2.0,10,2,2.0,Power BI,4,Data
241,2021,Full Stack Developer,Software Engineering,Mid (3-5 yrs),Master's,United States,North America,USD,Enterprise (10000+),Energy & Utilities,Full-time,Hybrid,155700,5300,0,161000,4.9,3,AWS; Python; Azure,Significant,Male,155700,Mid,2.0,2.0,5,2,1.0,AWS,18,Cloud
242,2022,AI Product Manager,Management,Mid (3-5 yrs),Master's,Canada,North America,CAD,Enterprise (10000+),Technology,Full-time,Hybrid,197100,8100,0,205200,3.5,0,Azure; Hadoop; Kubernetes; Power BI,AI-First,Female,197100,Mid,2.0,2.0,10,2,2.0,Azure,7,Cloud
243,2022,Full Stack Developer,Software Engineering,Mid (3-5 yrs),Master's,Switzerland,Europe,CHF,Startup (1-50),Finance & Banking,Full-time,Hybrid,143100,7400,0,150500,3.3,0,Airflow; Kafka; GCP; Excel,Experimenting,Male,143100,Mid,2.0,2.0,12,2,1.0,Airflow,22,DevOps
244,2024,Robotics Engineer,Machine Learning,Senior (6-10 yrs),PhD,United Kingdom,Europe,GBP,Enterprise (10000+),Consulting,Full-time,Remote,273900,16400,68100,358400,3.7,2,LangChain; Spark,Partial,Male,273900,Senior,3.0,3.0,6,1,1.0,LangChain,21,AI/ML
245,2025,Quantitative Analyst,Data Science,Senior (6-10 yrs),PhD,Germany,Europe,EUR,Enterprise (10000+),Technology,Full-time,Hybrid,315200,38700,34200,388100,3.8,3,R; dbt; JavaScript,Experimenting,Female,315200,Senior,3.0,3.0,7,2,2.0,R,16,Otra
246,2025,Robotics Engineer,Machine Learning,Senior (6-10 yrs),Master's,United States,North America,USD,Large (1001-10000),Technology,Contract,Remote,314900,32200,93900,441000,3.5,5,Kafka; Excel; GCP,Partial,Male,314900,Senior,3.0,3.0,5,1,1.0,Kafka,17,Data
247,2024,Quantitative Analyst,Data Science,Senior (6-10 yrs),PhD,United States,North America,USD,Enterprise (10000+),Finance & Banking,Full-time,On-site,526800,66100,0,592900,4.1,0,Kafka; Rust,Experimenting,Female,526800,Senior,3.0,3.0,5,3,2.0,Kafka,17,Data
248,2025,Cloud Architect,Software Engineering,Lead (11-15 yrs),Master's,Japan,Asia,JPY,Large (1001-10000),E-Commerce & Retail,Full-time,Hybrid,212100,22200,0,234300,4.2,4,TensorFlow; Docker; C++,AI-First,Male,212100,Lead,4.0,4.0,8,2,1.0,TensorFlow,25,AI/ML
249,2025,Database Administrator,Data Engineering,Mid (3-5 yrs),Bachelor's,Canada,North America,CAD,Medium (201-1000),E-Commerce & Retail,Full-time,Hybrid,111500,2500,26100,140100,3.3,0,R; Scala; PyTorch,Significant,Female,111500,Mid,2.0,2.0,10,2,2.0,R,16,Otra
250,2023,Robotics Engineer,Machine Learning,Senior (6-10 yrs),Master's,United Kingdom,Europe,GBP,Large (1001-10000),Technology,Part-time,Remote,129400,9600,0,139000,3.6,5,Kubernetes; GCP; Hadoop,Experimenting,Male,129400,Senior,3.0,3.0,6,1,1.0,Kubernetes,15,Cloud
251,2021,Full Stack Developer,Software Engineering,Mid (3-5 yrs),Master's,United Kingdom,Europe,GBP,Enterprise (10000+),E-Commerce & Retail,Contract,Hybrid,115800,3300,0,119100,3.9,1,dbt; Spark,Partial,Female,115800,Mid,2.0,2.0,6,2,2.0,dbt,6,Database
252,2023,Prompt Engineer,Machine Learning,Entry (0-2 yrs),Master's,United States,North America,USD,Enterprise (10000+),Finance & Banking,Full-time,Remote,164200,19600,0,183800,4.0,0,Azure; OpenCV,Significant,Male,164200,Junior,1.0,1.0,5,1,1.0,Azure,7,Cloud
253,2023,Cybersecurity Analyst,Cybersecurity,Lead (11-15 yrs),PhD,United States,North America,USD,Small (51-200),Healthcare & Pharma,Part-time,Remote,120000,14700,34600,169300,3.7,5,Excel; SQL,Experimenting,Female,120000,Lead,4.0,4.0,5,1,2.0,Excel,24,Data
254,2021,Robotics Engineer,Machine Learning,Entry (0-2 yrs),PhD,Germany,Europe,EUR,Medium (201-1000),Consulting,Full-time,Hybrid,74000,6500,0,80500,3.7,1,Python; Docker; Airflow,Partial,Male,74000,Junior,1.0,1.0,7,2,1.0,Python,13,Backend
255,2020,Business Intelligence Analyst,Data Science,Senior (6-10 yrs),Master's,India,Asia,INR,Small (51-200),Technology,Full-time,Hybrid,27300,1100,10800,39200,2.4,3,GCP; Python,Significant,Male,27300,Senior,3.0,3.0,3,2,1.0,GCP,12,Cloud
256,2024,AI Product Manager,Management,Senior (6-10 yrs),Bachelor's,United States,North America,USD,Medium (201-1000),Healthcare & Pharma,Full-time,Hybrid,329700,47200,120400,497300,3.6,1,Hadoop; OpenCV; dbt; Python; AWS,Experimenting,Male,329700,Senior,3.0,3.0,5,2,1.0,Hadoop,5,Data
257,2024,Engineering Manager,Management,Senior (6-10 yrs),PhD,United States,North America,USD,Small (51-200),Media & Entertainment,Full-time,Hybrid,329400,12200,0,341600,4.5,3,GCP; Scala,Experimenting,Male,329400,Senior,3.0,3.0,5,2,1.0,GCP,12,Cloud
258,2023,Engineering Manager,Management,Entry (0-2 yrs),Master's,Canada,North America,CAD,Small (51-200),Telecommunications,Freelance,Remote,121700,8000,0,129700,3.3,2,C++; Go; Power BI,Significant,Male,121700,Junior,1.0,1.0,10,1,1.0,C++,26,Backend
259,2021,AI Product Manager,Management,Lead (11-15 yrs),Master's,Brazil,South America,BRL,Enterprise (10000+),Insurance,Full-time,Hybrid,98400,7200,38400,144000,3.5,1,JavaScript; Kafka,Significant,Non-binary,98400,Lead,4.0,4.0,4,2,3.0,JavaScript,1,Frontend
260,2022,Robotics Engineer,Machine Learning,Entry (0-2 yrs),Bachelor's,India,Asia,INR,Large (1001-10000),Education & Research,Full-time,Hybrid,18000,1300,3700,23000,3.0,1,Tableau; Spark; Hugging Face,Partial,Male,18000,Junior,1.0,1.0,3,2,1.0,Tableau,3,Data
261,2020,Computer Vision Engineer,Machine Learning,Senior (6-10 yrs),Bachelor's,Singapore,Asia,SGD,Large (1001-10000),Technology,Full-time,On-site,237900,7200,0,245100,3.2,8,Spark; LangChain; TensorFlow; AWS; GCP,Experimenting,Female,237900,Senior,3.0,3.0,15,3,2.0,Spark,14,Data
262,2020,Business Intelligence Analyst,Data Science,Entry (0-2 yrs),PhD,Brazil,South America,BRL,Medium (201-1000),Technology,Full-time,Remote,20600,1700,3400,25700,2.7,2,OpenCV; Tableau,Partial,Female,20600,Junior,1.0,1.0,4,1,2.0,OpenCV,8,AI/ML
263,2021,Machine Learning Engineer,Machine Learning,Mid (3-5 yrs),Master's,India,Asia,INR,Enterprise (10000+),Healthcare & Pharma,Full-time,Remote,38800,1500,0,40300,2.1,4,Scala; Docker; Azure; SQL,Partial,Male,38800,Mid,2.0,2.0,3,1,1.0,Scala,2,Otra
264,2024,Prompt Engineer,Machine Learning,Senior (6-10 yrs),Master's,Australia,Oceania,AUD,Startup (1-50),Technology,Freelance,Hybrid,181200,6800,48200,236200,3.4,3,Spark; R; Go; LangChain; AWS,Experimenting,Male,181200,Senior,3.0,3.0,2,2,1.0,Spark,14,Data
265,2021,Robotics Engineer,Machine Learning,Lead (11-15 yrs),Master's,United States,North America,USD,Medium (201-1000),Healthcare & Pharma,Part-time,Remote,143700,12400,9000,165100,4.4,1,OpenCV; Kafka; Rust; Tableau,Partial,Male,143700,Lead,4.0,4.0,5,1,1.0,OpenCV,8,AI/ML
266,2024,Backend Developer,Software Engineering,Lead (11-15 yrs),PhD,India,Asia,INR,Startup (1-50),Technology,Full-time,Remote,72700,8400,0,81100,3.8,2,AWS; Hugging Face; Power BI; Python,Partial,Male,72700,Lead,4.0,4.0,3,1,1.0,AWS,18,Cloud
267,2021,Data Analyst,Data Science,Mid (3-5 yrs),Master's,Canada,North America,CAD,Small (51-200),Technology,Full-time,Hybrid,75800,4900,6800,87500,3.2,1,Kafka; Java; AWS; dbt,Partial,Male,75800,Mid,2.0,2.0,10,2,1.0,Kafka,17,Data
268,2021,DevOps Engineer,Software Engineering,Entry (0-2 yrs),Master's,United States,North America,USD,Large (1001-10000),Technology,Full-time,Remote,119200,5300,44900,169400,3.1,0,C++; Azure; Hadoop; Power BI,AI-First,Female,119200,Junior,1.0,1.0,5,1,2.0,C++,26,Backend
269,2025,Database Administrator,Data Engineering,Mid (3-5 yrs),PhD,India,Asia,INR,Startup (1-50),Finance & Banking,Full-time,On-site,31900,1600,0,33500,3.1,5,Hugging Face; Tableau; OpenCV,Significant,Female,31900,Mid,2.0,2.0,3,3,2.0,Hugging Face,10,AI/ML
270,2023,MLOps Engineer,Machine Learning,Mid (3-5 yrs),Bachelor's,France,Europe,EUR,Medium (201-1000),E-Commerce & Retail,Full-time,Remote,108900,9800,24100,142800,2.0,2,OpenCV; Scala; Power BI; Java; C++,Partial,Male,108900,Mid,2.0,2.0,1,1,1.0,OpenCV,8,AI/ML
271,2020,Engineering Manager,Management,Entry (0-2 yrs),Master's,Canada,North America,CAD,Medium (201-1000),Technology,Freelance,On-site,131800,1100,0,132900,3.7,2,Azure; Kubernetes; Spark; R; Airflow,Partial,Male,131800,Junior,1.0,1.0,10,3,1.0,Azure,7,Cloud
272,2024,Analytics Engineer,Data Engineering,Senior (6-10 yrs),Master's,United Kingdom,Europe,GBP,Large (1001-10000),Telecommunications,Full-time,Remote,158600,17600,0,176200,3.5,1,SQL; TensorFlow; Power BI,AI-First,Male,158600,Senior,3.0,3.0,6,1,1.0,SQL,9,Database
273,2021,Quantitative Analyst,Data Science,Entry (0-2 yrs),Bachelor's,France,Europe,EUR,Medium (201-1000),Healthcare & Pharma,Contract,Remote,85600,5000,0,90600,3.9,2,Scala; Kubernetes,Significant,Male,85600,Junior,1.0,1.0,1,1,1.0,Scala,2,Otra
274,2025,DevOps Engineer,Software Engineering,Senior (6-10 yrs),Bachelor's,India,Asia,INR,Enterprise (10000+),Finance & Banking,Full-time,Hybrid,69200,6800,18400,94400,4.6,5,Rust; TensorFlow; Tableau; Spark; LangChain,Significant,Female,69200,Senior,3.0,3.0,3,2,2.0,Rust,23,Backend
275,2025,Robotics Engineer,Machine Learning,Mid (3-5 yrs),Bachelor's,United States,North America,USD,Large (1001-10000),Education & Research,Contract,Remote,151100,8000,0,159100,3.8,2,C++; Hadoop,AI-First,Male,151100,Mid,2.0,2.0,5,1,1.0,C++,26,Backend
276,2020,AI Research Scientist,Machine Learning,Senior (6-10 yrs),Bachelor's,Germany,Europe,EUR,Startup (1-50),Technology,Full-time,Hybrid,170500,21400,0,191900,3.0,1,Power BI; Excel; Azure; TensorFlow; Airflow,AI-First,Male,170500,Senior,3.0,3.0,7,2,1.0,Power BI,4,Data
277,2024,MLOps Engineer,Machine Learning,Mid (3-5 yrs),Master's,India,Asia,INR,Small (51-200),Consulting,Full-time,Remote,37600,2300,10500,50400,3.4,5,Power BI; C++; dbt,,Male,37600,Mid,2.0,2.0,3,1,1.0,Power BI,4,Data
278,2020,MLOps Engineer,Machine Learning,Mid (3-5 yrs),Master's,United States,North America,USD,Medium (201-1000),Consulting,Full-time,Remote,179400,11400,0,190800,4.6,3,GCP; TensorFlow,Significant,Male,179400,Mid,2.0,2.0,5,1,1.0,GCP,12,Cloud
279,2023,Backend Developer,Software Engineering,Mid (3-5 yrs),PhD,Sweden,Europe,SEK,Large (1001-10000),Technology,Full-time,Hybrid,147000,13000,0,160000,4.2,4,GCP; SQL,Partial,Male,147000,Mid,2.0,2.0,19,2,1.0,GCP,12,Cloud
280,2020,Product Manager (Tech),Management,Lead (11-15 yrs),Master's,Israel,Asia,ILS,Enterprise (10000+),E-Commerce & Retail,Full-time,On-site,216400,27900,0,244300,3.8,1,LangChain; Docker; dbt; Tableau,AI-First,Male,216400,Lead,4.0,4.0,13,3,1.0,LangChain,21,AI/ML
281,2021,Frontend Developer,Software Engineering,Executive (16+ yrs),Bachelor's,India,Asia,INR,Large (1001-10000),Technology,Full-time,On-site,62700,6600,15100,84400,2.4,2,Go; TensorFlow; SQL; Hadoop,Significant,Female,62700,No especificado,0.0,0.0,3,3,2.0,Go,20,Backend
282,2020,MLOps Engineer,Machine Learning,Mid (3-5 yrs),PhD,Germany,Europe,EUR,Enterprise (10000+),Technology,Freelance,On-site,149900,1600,0,151500,2.0,0,Go; Kafka; Rust,Experimenting,Male,149900,Mid,2.0,2.0,7,3,1.0,Go,20,Backend
283,2021,Prompt Engineer,Machine Learning,Senior (6-10 yrs),PhD,United Kingdom,Europe,GBP,Startup (1-50),Technology,Full-time,Remote,137500,10400,0,147900,4.0,2,AWS; Spark,Significant,Male,137500,Senior,3.0,3.0,6,1,1.0,AWS,18,Cloud
284,2025,AI Product Manager,Management,Mid (3-5 yrs),Bachelor's,Brazil,South America,BRL,Enterprise (10000+),Education & Research,Full-time,Remote,46700,1000,8500,56200,4.8,4,AWS; GCP; R; Azure; Spark,Partial,Female,46700,Mid,2.0,2.0,4,1,2.0,AWS,18,Cloud
285,2021,Data Engineer,Data Engineering,Mid (3-5 yrs),Bachelor's,Australia,Oceania,AUD,Large (1001-10000),Technology,Full-time,Hybrid,101400,14400,0,115800,2.7,2,C++; GCP; Rust; Go,Experimenting,Non-binary,101400,Mid,2.0,2.0,2,2,3.0,C++,26,Backend
286,2022,MLOps Engineer,Machine Learning,Mid (3-5 yrs),PhD,Canada,North America,CAD,Large (1001-10000),Finance & Banking,Full-time,Remote,156400,22400,49700,228500,4.1,4,OpenCV; Java; Kafka,Experimenting,Male,156400,Mid,2.0,2.0,10,1,1.0,OpenCV,8,AI/ML
287,2022,Frontend Developer,Software Engineering,Senior (6-10 yrs),High School,United States,North America,USD,Large (1001-10000),Healthcare & Pharma,Full-time,Remote,143300,16600,0,159900,3.7,0,Hugging Face; AWS; TensorFlow; Rust,Partial,Male,143300,Senior,3.0,3.0,5,1,1.0,Hugging Face,10,AI/ML
288,2022,Quantitative Analyst,Data Science,Mid (3-5 yrs),Bachelor's,United States,North America,USD,Small (51-200),Energy & Utilities,Full-time,Hybrid,178400,0,26700,205100,3.4,0,Spark; Python; Kubernetes; Java,Partial,Female,178400,Mid,2.0,2.0,5,2,2.0,Spark,14,Data
289,2023,AI Product Manager,Management,Senior (6-10 yrs),Bachelor's,India,Asia,INR,Small (51-200),Automotive,Full-time,Hybrid,50300,7800,0,58100,3.9,3,Hadoop; Power BI,Partial,Female,50300,Senior,3.0,3.0,3,2,2.0,Hadoop,5,Data
290,2021,MLOps Engineer,Machine Learning,Lead (11-15 yrs),Master's,India,Asia,INR,Medium (201-1000),E-Commerce & Retail,Full-time,On-site,46600,3500,4300,54400,2.2,0,PyTorch; Excel; TensorFlow; Airflow,Experimenting,Female,46600,Lead,4.0,4.0,3,3,2.0,PyTorch,19,AI/ML
291,2022,Cloud Architect,Software Engineering,Lead (11-15 yrs),Master's,Singapore,Asia,SGD,Large (1001-10000),Healthcare & Pharma,Contract,Remote,301600,36800,70500,408900,3.5,2,dbt; Rust; Kafka,Significant,Male,301600,Lead,4.0,4.0,15,1,1.0,dbt,6,Database
292,2021,Data Engineer,Data Engineering,Lead (11-15 yrs),Master's,United States,North America,USD,Medium (201-1000),Technology,Part-time,Remote,164200,25600,39800,229600,3.8,0,SQL; Excel; Hadoop,Partial,Male,164200,Lead,4.0,4.0,5,1,1.0,SQL,9,Database
293,2022,Generative AI Engineer,Machine Learning,Mid (3-5 yrs),Bachelor's,United States,North America,USD,Small (51-200),Technology,Contract,On-site,216800,12000,56500,285300,3.3,0,GCP; Docker; Scala; Airflow,Partial,Male,216800,Mid,2.0,2.0,5,3,1.0,GCP,12,Cloud
294,2023,Database Administrator,Data Engineering,Senior (6-10 yrs),Bachelor's,India,Asia,INR,Medium (201-1000),E-Commerce & Retail,Full-time,Remote,32300,3900,0,36200,2.8,1,TensorFlow; Spark; Kubernetes; Rust; Scala,Partial,Male,32300,Senior,3.0,3.0,3,1,1.0,TensorFlow,25,AI/ML
295,2024,AI Research Scientist,Machine Learning,Mid (3-5 yrs),PhD,United Kingdom,Europe,GBP,Startup (1-50),Education & Research,Full-time,Remote,114600,2600,37000,154200,4.2,1,Power BI; Go; Hugging Face; Python,Partial,Male,114600,Mid,2.0,2.0,6,1,1.0,Power BI,4,Data
296,2025,DevOps Engineer,Software Engineering,Entry (0-2 yrs),Bachelor's,United Kingdom,Europe,GBP,Large (1001-10000),Finance & Banking,Full-time,Remote,95400,2200,25600,123200,3.6,1,TensorFlow; Excel; Kafka; GCP,Significant,Male,95400,Junior,1.0,1.0,6,1,1.0,TensorFlow,25,AI/ML
297,2025,MLOps Engineer,Machine Learning,Entry (0-2 yrs),Master's,United States,North America,USD,Medium (201-1000),Healthcare & Pharma,Full-time,Remote,113200,7100,34900,155200,3.5,0,C++; Java,Partial,Male,113200,Junior,1.0,1.0,5,1,1.0,C++,26,Backend
298,2022,Data Scientist,Data Science,Entry (0-2 yrs),Bachelor's,United States,North America,USD,Medium (201-1000),Finance & Banking,Part-time,Hybrid,62300,3200,0,65500,3.1,2,PyTorch; SQL,Significant,Non-binary,62300,Junior,1.0,1.0,5,2,3.0,PyTorch,19,AI/ML
299,2020,Analytics Engineer,Data Engineering,Mid (3-5 yrs),Bachelor's,United Kingdom,Europe,GBP,Small (51-200),Media & Entertainment,Full-time,Hybrid,68000,4100,0,72100,4.1,1,Hadoop; LangChain; Docker,Experimenting,Prefer not to say,68000,Mid,2.0,2.0,6,2,0.0,Hadoop,5,Data
300,2021,Database Administrator,Data Engineering,Mid (3-5 yrs),Master's,Netherlands,Europe,EUR,Enterprise (10000+),Healthcare & Pharma,Full-time,Remote,88700,1600,0,90300,4.4,1,Kafka; GCP,Partial,Male,88700,Mid,2.0,2.0,9,1,1.0,Kafka,17,Data
301,2023,NLP Engineer,Machine Learning,Entry (0-2 yrs),Bachelor's,United Kingdom,Europe,GBP,Large (1001-10000),Government & Defense,Full-time,Remote,96500,9100,0,105600,3.6,2,Hadoop; Hugging Face,Experimenting,Prefer not to say,96500,Junior,1.0,1.0,6,1,0.0,Hadoop,5,Data
