id,survey_year,job_title,job_category,experience_level,education_level,country,continent,currency,company_size,industry,employment_type,work_setting,base_salary_usd,annual_bonus_usd,stock_grant_usd,total_compensation_usd,job_satisfaction,years_at_company,primary_skills,ai_adoption_level,gender
2554,2022,Generative AI Engineer,Machine Learning,Lead (11-15 yrs),Master's,Japan,Asia,JPY,Medium (201-1000),Finance & Banking,Full-time,Remote,224000,15200,0,239200,3.8,8,Scala; OpenCV; Spark; Go,None,Female
2555,2024,Full Stack Developer,Software Engineering,Executive (16+ yrs),High School,United States,North America,USD,Large (1001-10000),Technology,Full-time,On-site,307800,36900,116000,460700,3.8,2,GCP; Tableau; Airflow; Docker; Rust,Significant,Female
2556,2022,AI Product Manager,Management,Senior (6-10 yrs),Master's,United States,North America,USD,Large (1001-10000),Finance & Banking,Full-time,Remote,321700,35900,0,357600,4.1,1,Docker; Kafka; Scala; Hadoop,Partial,Male
2557,2025,Database Administrator,Data Engineering,Senior (6-10 yrs),Master's,Brazil,South America,BRL,Enterprise (10000+),Technology,Full-time,Hybrid,65200,8800,10800,84800,3.5,1,R; Hugging Face; Airflow; Kafka,Significant,Female
2558,2024,Frontend Developer,Software Engineering,Mid (3-5 yrs),High School,United States,North America,USD,Large (1001-10000),Media & Entertainment,Part-time,On-site,46700,2100,0,48800,3.2,3,Hadoop; Azure,Significant,Male
2559,2021,Robotics Engineer,Machine Learning,Mid (3-5 yrs),PhD,Japan,Asia,JPY,Large (1001-10000),E-Commerce & Retail,Contract,Remote,118100,11200,21500,150800,3.9,3,SQL; C++; PyTorch,Partial,Male
2560,2022,Quantitative Analyst,Data Science,Mid (3-5 yrs),PhD,Australia,Oceania,AUD,Enterprise (10000+),Education & Research,Full-time,Remote,178500,11600,0,190100,3.5,1,Rust; SQL,Experimenting,Female
2561,2023,Quantitative Analyst,Data Science,Entry (0-2 yrs),Master's,Canada,North America,CAD,Medium (201-1000),Healthcare & Pharma,Full-time,Hybrid,124700,7600,0,132300,3.8,2,Kafka; Scala; Python; Power BI,Experimenting,Male
2562,2023,Cybersecurity Analyst,Cybersecurity,Mid (3-5 yrs),Master's,United States,North America,USD,Medium (201-1000),Technology,Full-time,Remote,150100,14700,0,164800,3.5,0,Tableau; Scala; dbt; Hugging Face,Partial,Non-binary
2563,2025,Data Scientist,Data Science,Senior (6-10 yrs),Master's,Brazil,South America,BRL,Medium (201-1000),Energy & Utilities,Full-time,Remote,60900,3400,0,64300,4.0,2,Hadoop; TensorFlow; dbt,Significant,Male
2564,2023,Backend Developer,Software Engineering,Mid (3-5 yrs),PhD,Germany,Europe,EUR,Large (1001-10000),Technology,Full-time,Hybrid,180300,17800,0,198100,3.6,0,Go; PyTorch,Experimenting,Female
2565,2023,Computer Vision Engineer,Machine Learning,Entry (0-2 yrs),Bachelor's,India,Asia,INR,Startup (1-50),Finance & Banking,Full-time,Hybrid,21400,900,0,22300,2.3,1,Tableau; Rust; Azure; OpenCV; LangChain,Significant,Female
2566,2025,MLOps Engineer,Machine Learning,Senior (6-10 yrs),Bachelor's,United States,North America,USD,Startup (1-50),Technology,Full-time,Remote,241300,19700,19800,280800,3.8,2,Airflow; Hugging Face; AWS; R,AI-First,Female
2567,2024,Software Engineer,Software Engineering,Senior (6-10 yrs),PhD,United States,North America,USD,Startup (1-50),Healthcare & Pharma,Full-time,On-site,262700,24100,77000,363800,3.5,8,AWS; Power BI; C++,Experimenting,Non-binary
2568,2020,Database Administrator,Data Engineering,Entry (0-2 yrs),Master's,India,Asia,INR,Large (1001-10000),Healthcare & Pharma,Full-time,On-site,18100,2300,2400,22800,3.2,1,Power BI; Go,None,Male
2569,2023,Business Intelligence Analyst,Data Science,Mid (3-5 yrs),Master's,France,Europe,EUR,Large (1001-10000),Automotive,Full-time,Remote,85400,5100,0,90500,3.2,3,Kafka; Hugging Face; Go; GCP; Java,Experimenting,Female
2570,2023,Robotics Engineer,Machine Learning,Mid (3-5 yrs),Bachelor's,United States,North America,USD,Small (51-200),Energy & Utilities,Contract,Remote,127500,9700,0,137200,3.6,0,Python; PyTorch,AI-First,Female
2571,2022,Product Manager (Tech),Management,Lead (11-15 yrs),Bachelor's,Canada,North America,CAD,Enterprise (10000+),E-Commerce & Retail,Full-time,Remote,258100,16700,0,274800,4.3,0,Tableau; Excel; Kafka,Experimenting,Prefer not to say
2572,2020,AI Research Scientist,Machine Learning,Mid (3-5 yrs),Master's,France,Europe,EUR,Medium (201-1000),E-Commerce & Retail,Full-time,Remote,106800,5700,0,112500,4.2,3,Go; Docker; SQL; Spark,Partial,Male
2573,2022,Computer Vision Engineer,Machine Learning,Entry (0-2 yrs),Master's,United States,North America,USD,Large (1001-10000),Finance & Banking,Full-time,Hybrid,175300,0,0,175300,3.9,2,JavaScript; LangChain; Go; SQL; Java,Partial,Prefer not to say
2574,2024,Quantitative Analyst,Data Science,Entry (0-2 yrs),Master's,United States,North America,USD,Enterprise (10000+),Finance & Banking,Full-time,Remote,203900,0,76400,280300,5.0,0,OpenCV; JavaScript,Experimenting,Male
2575,2023,Prompt Engineer,Machine Learning,Mid (3-5 yrs),Master's,United States,North America,USD,Large (1001-10000),Technology,Full-time,Hybrid,180300,0,24400,204700,4.2,4,R; Python; TensorFlow,AI-First,Male
2576,2021,Cybersecurity Analyst,Cybersecurity,Entry (0-2 yrs),PhD,United States,North America,USD,Small (51-200),Technology,Full-time,Remote,100500,6600,8000,115100,2.6,2,Go; Scala; Spark; Hugging Face; PyTorch,None,Male
2577,2022,AI Research Scientist,Machine Learning,Senior (6-10 yrs),Master's,India,Asia,INR,Medium (201-1000),Media & Entertainment,Full-time,On-site,48400,1900,0,50300,2.9,0,Python; OpenCV; Docker,AI-First,Female
2578,2024,Machine Learning Engineer,Machine Learning,Mid (3-5 yrs),High School,India,Asia,INR,Enterprise (10000+),Government & Defense,Full-time,Remote,26600,2600,0,29200,3.1,4,GCP; Java,Partial,Female
2579,2024,DevOps Engineer,Software Engineering,Senior (6-10 yrs),Bachelor's,Canada,North America,CAD,Enterprise (10000+),Technology,Full-time,Remote,198800,4800,0,203600,3.7,2,OpenCV; Kafka,Partial,Male
2580,2021,Full Stack Developer,Software Engineering,Lead (11-15 yrs),PhD,United States,North America,USD,Large (1001-10000),Education & Research,Freelance,On-site,237100,36800,0,273900,4.7,4,AWS; Hugging Face; Rust; Python; Tableau,Significant,Male
2581,2024,Generative AI Engineer,Machine Learning,Mid (3-5 yrs),Bachelor's,Canada,North America,CAD,Large (1001-10000),Consulting,Full-time,On-site,165600,3400,0,169000,4.1,0,TensorFlow; R,Partial,Female
2582,2020,Generative AI Engineer,Machine Learning,Senior (6-10 yrs),Bachelor's,Germany,Europe,EUR,Enterprise (10000+),Automotive,Full-time,Hybrid,194200,16100,22600,232900,4.4,3,Python; R,AI-First,Male
2583,2022,DevOps Engineer,Software Engineering,Mid (3-5 yrs),Master's,United States,North America,USD,Large (1001-10000),Finance & Banking,Part-time,Remote,112200,1600,0,113800,3.6,2,C++; Spark; Kubernetes; Python,Partial,Female
2584,2023,AI Research Scientist,Machine Learning,Mid (3-5 yrs),Bachelor's,Brazil,South America,BRL,Startup (1-50),Finance & Banking,Full-time,On-site,51800,0,0,51800,3.7,1,Kafka; SQL; Azure; Java,Experimenting,Female
2585,2024,Frontend Developer,Software Engineering,Senior (6-10 yrs),Bachelor's,United Kingdom,Europe,GBP,Medium (201-1000),E-Commerce & Retail,Full-time,Hybrid,120300,4700,46200,171200,3.6,0,PyTorch; Python,Partial,Female
2586,2025,Analytics Engineer,Data Engineering,Entry (0-2 yrs),PhD,Canada,North America,CAD,Medium (201-1000),Technology,Contract,Remote,113800,5900,0,119700,4.1,1,JavaScript; OpenCV; LangChain; Java; Excel,None,Prefer not to say
2587,2021,MLOps Engineer,Machine Learning,Entry (0-2 yrs),Bachelor's,Australia,Oceania,AUD,Medium (201-1000),Healthcare & Pharma,Full-time,Remote,73100,6700,0,79800,3.7,2,TensorFlow; Rust; Hadoop; Tableau,Partial,Male
2588,2025,Product Manager (Tech),Management,Senior (6-10 yrs),PhD,India,Asia,INR,Small (51-200),Finance & Banking,Full-time,Hybrid,69800,8800,0,78600,2.9,0,SQL; Hugging Face,Significant,Female
2589,2023,Business Intelligence Analyst,Data Science,Senior (6-10 yrs),Master's,Israel,Asia,ILS,Small (51-200),Healthcare & Pharma,Full-time,Hybrid,116200,8100,23000,147300,2.3,2,Tableau; SQL; Airflow; Rust,AI-First,Male
2590,2023,AI Product Manager,Management,Entry (0-2 yrs),Master's,Poland,Europe,PLN,Startup (1-50),Consulting,Contract,Hybrid,44000,2000,9800,55800,2.4,0,Go; Hugging Face; Tableau; Scala; Excel,Significant,Male
2591,2025,Product Manager (Tech),Management,Entry (0-2 yrs),Master's,Canada,North America,CAD,Enterprise (10000+),Telecommunications,Full-time,Hybrid,105100,900,0,106000,2.9,1,Tableau; AWS; JavaScript; Docker,Partial,Male
2592,2022,AI Research Scientist,Machine Learning,Senior (6-10 yrs),Master's,United Kingdom,Europe,GBP,Enterprise (10000+),Healthcare & Pharma,Full-time,Hybrid,303200,42100,49800,395100,3.7,0,Hugging Face; Docker; Kubernetes; Airflow; Hadoop,Significant,Female
2593,2020,Data Engineer,Data Engineering,Lead (11-15 yrs),Bachelor's,India,Asia,INR,Small (51-200),Energy & Utilities,Full-time,Hybrid,53100,5200,4700,63000,3.2,0,Kubernetes; Tableau; AWS; Python; Azure,Significant,Male
2594,2025,Full Stack Developer,Software Engineering,Entry (0-2 yrs),Master's,India,Asia,INR,Medium (201-1000),Consulting,Freelance,Remote,25800,0,0,25800,3.3,2,AWS; R; dbt; TensorFlow; Rust,Significant,Male
2595,2023,Data Engineer,Data Engineering,Mid (3-5 yrs),PhD,United States,North America,USD,Medium (201-1000),Energy & Utilities,Part-time,Remote,90300,12600,0,102900,3.4,0,Airflow; SQL,Partial,Prefer not to say
2596,2021,Software Engineer,Software Engineering,Senior (6-10 yrs),Master's,United States,North America,USD,Large (1001-10000),E-Commerce & Retail,Full-time,Remote,156400,14700,0,171100,3.8,0,AWS; Rust; Kafka,Partial,Male
2597,2024,Quantitative Analyst,Data Science,Mid (3-5 yrs),Master's,India,Asia,INR,Enterprise (10000+),Education & Research,Contract,Remote,58900,5900,0,64800,3.7,1,Python; Airflow; PyTorch,None,Male
2598,2022,NLP Engineer,Machine Learning,Senior (6-10 yrs),Master's,Singapore,Asia,SGD,Small (51-200),Education & Research,Full-time,Hybrid,162400,26400,0,188800,4.2,1,Hadoop; Tableau; PyTorch; dbt; Azure,AI-First,Male
2599,2025,Engineering Manager,Management,Mid (3-5 yrs),PhD,India,Asia,INR,Enterprise (10000+),Technology,Contract,On-site,115800,4100,28400,148300,4.0,3,Kubernetes; Hugging Face; Power BI; GCP; Python,Significant,Male
2600,2023,Robotics Engineer,Machine Learning,Mid (3-5 yrs),Master's,Brazil,South America,BRL,Small (51-200),Education & Research,Part-time,Hybrid,23600,1500,6800,31900,4.5,1,R; AWS; Power BI; OpenCV,Partial,Male
2601,2022,Cybersecurity Analyst,Cybersecurity,Senior (6-10 yrs),Bachelor's,Canada,North America,CAD,Large (1001-10000),Technology,Part-time,Remote,109200,16900,0,126100,3.8,1,Tableau; Java,Partial,Non-binary
2602,2022,Full Stack Developer,Software Engineering,Senior (6-10 yrs),Master's,United States,North America,USD,Medium (201-1000),Technology,Full-time,Remote,226500,15900,0,242400,4.3,2,Kubernetes; Power BI; AWS; Azure,None,Female
2603,2021,Machine Learning Engineer,Machine Learning,Entry (0-2 yrs),Master's,Germany,Europe,EUR,Medium (201-1000),Technology,Contract,Hybrid,96500,12300,0,108800,3.1,0,JavaScript; LangChain; AWS,Partial,Male
2604,2025,AI Product Manager,Management,Entry (0-2 yrs),Bachelor's,Brazil,South America,BRL,Large (1001-10000),E-Commerce & Retail,Full-time,Remote,40700,1600,0,42300,3.1,2,Power BI; Java; Excel; Airflow,Experimenting,Female
2605,2022,Business Intelligence Analyst,Data Science,Entry (0-2 yrs),Master's,United States,North America,USD,Startup (1-50),Technology,Full-time,Hybrid,55100,4800,19900,79800,2.1,2,Tableau; Spark; Java; SQL,Significant,Male
2606,2021,Computer Vision Engineer,Machine Learning,Lead (11-15 yrs),Master's,India,Asia,INR,Enterprise (10000+),Insurance,Full-time,Remote,74400,8000,0,82400,3.7,1,Scala; JavaScript; Tableau; TensorFlow,Significant,Male
2607,2021,Cybersecurity Analyst,Cybersecurity,Lead (11-15 yrs),PhD,United Kingdom,Europe,GBP,Large (1001-10000),Insurance,Full-time,Remote,198600,23900,49800,272300,3.8,0,Go; TensorFlow; Excel; GCP; LangChain,Partial,Female
2608,2020,Database Administrator,Data Engineering,Mid (3-5 yrs),Bachelor's,United States,North America,USD,Large (1001-10000),Consulting,Full-time,Hybrid,144100,3500,39100,186700,3.8,0,Spark; R; OpenCV,Partial,Male
2609,2022,Prompt Engineer,Machine Learning,Mid (3-5 yrs),Master's,India,Asia,INR,Enterprise (10000+),E-Commerce & Retail,Full-time,Hybrid,36600,2100,0,38700,2.9,5,GCP; Airflow; Docker; LangChain; AWS,Significant,Male
2610,2023,Robotics Engineer,Machine Learning,Senior (6-10 yrs),Bachelor's,Canada,North America,CAD,Enterprise (10000+),Technology,Full-time,Remote,206500,28900,46400,281800,4.4,1,AWS; Rust; Hugging Face; GCP; Hadoop,AI-First,Male
2611,2022,Cloud Architect,Software Engineering,Lead (11-15 yrs),PhD,United Kingdom,Europe,GBP,Large (1001-10000),E-Commerce & Retail,Full-time,On-site,301200,18500,41100,360800,2.8,3,Java; Kafka; PyTorch; AWS,Experimenting,Female
2612,2020,Data Scientist,Data Science,Mid (3-5 yrs),Master's,United States,North America,USD,Large (1001-10000),Technology,Full-time,Hybrid,171300,7300,0,178600,3.4,0,Go; Hugging Face; Airflow; Docker,None,Non-binary
2613,2022,Cloud Architect,Software Engineering,Entry (0-2 yrs),Bachelor's,Canada,North America,CAD,Large (1001-10000),Technology,Full-time,Remote,128900,7900,0,136800,3.4,1,dbt; SQL,None,Male
2614,2022,Software Engineer,Software Engineering,Mid (3-5 yrs),Master's,United Kingdom,Europe,GBP,Small (51-200),Media & Entertainment,Full-time,Remote,105900,1900,0,107800,4.1,0,dbt; Airflow,Partial,Male
2615,2020,Cloud Architect,Software Engineering,Executive (16+ yrs),High School,United Kingdom,Europe,GBP,Enterprise (10000+),Insurance,Full-time,On-site,253500,19300,0,272800,2.7,7,JavaScript; Docker; Go; OpenCV; Power BI,Partial,Female
2616,2020,Data Scientist,Data Science,Lead (11-15 yrs),Bachelor's,United States,North America,USD,Small (51-200),Technology,Part-time,On-site,104900,13400,0,118300,4.0,0,C++; Kafka; dbt,AI-First,Male
2617,2020,Data Analyst,Data Science,Mid (3-5 yrs),Master's,United States,North America,USD,Small (51-200),Consulting,Full-time,Remote,92000,3800,0,95800,4.2,0,Rust; Go,Partial,Female
2618,2024,Cybersecurity Analyst,Cybersecurity,Senior (6-10 yrs),Master's,United States,North America,USD,Large (1001-10000),Technology,Full-time,On-site,290000,42500,36100,368600,4.0,0,Kafka; Go; SQL; Airflow,Experimenting,Non-binary
2619,2023,Generative AI Engineer,Machine Learning,Senior (6-10 yrs),Master's,Germany,Europe,EUR,Small (51-200),Finance & Banking,Full-time,Hybrid,195800,13000,25900,234700,3.8,0,AWS; Power BI; Kubernetes; R; PyTorch,Experimenting,Male
2620,2025,Frontend Developer,Software Engineering,Mid (3-5 yrs),Bachelor's,United States,North America,USD,Startup (1-50),Technology,Full-time,Remote,106900,3400,22700,133000,4.0,0,dbt; Kafka; Airflow; Azure,Partial,Male
2621,2024,Cybersecurity Analyst,Cybersecurity,Mid (3-5 yrs),Master's,United Kingdom,Europe,GBP,Startup (1-50),Healthcare & Pharma,Contract,Remote,102500,5000,40200,147700,3.7,0,Hadoop; R,Partial,Male
2622,2025,AI Product Manager,Management,Senior (6-10 yrs),Bachelor's,Canada,North America,CAD,Medium (201-1000),Education & Research,Full-time,Remote,182800,28900,0,211700,4.2,0,R; Rust; Kafka; TensorFlow,Experimenting,Male
2623,2025,Database Administrator,Data Engineering,Executive (16+ yrs),Master's,United States,North America,USD,Small (51-200),Technology,Full-time,Hybrid,354800,39500,113100,507400,3.8,6,R; SQL; PyTorch; OpenCV,Experimenting,Male
2624,2023,DevOps Engineer,Software Engineering,Lead (11-15 yrs),Master's,Switzerland,Europe,CHF,Medium (201-1000),Technology,Full-time,On-site,341800,53600,111700,507100,2.3,2,Kubernetes; Kafka,Partial,Male
2625,2022,Data Scientist,Data Science,Mid (3-5 yrs),High School,Germany,Europe,EUR,Medium (201-1000),Finance & Banking,Full-time,Remote,83000,1200,11800,96000,3.8,0,Spark; Tableau; AWS; Scala; dbt,AI-First,Male
2626,2024,Cloud Architect,Software Engineering,Senior (6-10 yrs),Bachelor's,United Kingdom,Europe,GBP,Large (1001-10000),Finance & Banking,Full-time,Remote,233800,31500,32200,297500,4.5,0,Kubernetes; Python; SQL; Airflow; OpenCV,AI-First,Male
2627,2025,Quantitative Analyst,Data Science,Lead (11-15 yrs),Master's,France,Europe,EUR,Startup (1-50),Finance & Banking,Full-time,Remote,302200,38000,0,340200,3.9,5,Docker; Kubernetes; Java; Azure,Significant,Non-binary
2628,2023,Machine Learning Engineer,Machine Learning,Mid (3-5 yrs),Bachelor's,Germany,Europe,EUR,Large (1001-10000),E-Commerce & Retail,Full-time,On-site,131600,14100,12400,158100,3.2,1,Rust; JavaScript,None,Female
2629,2024,Data Engineer,Data Engineering,Mid (3-5 yrs),Master's,United Kingdom,Europe,GBP,Small (51-200),Finance & Banking,Full-time,Remote,132300,1200,0,133500,3.8,0,Hugging Face; Airflow; R; Azure,Significant,Male
2630,2024,Machine Learning Engineer,Machine Learning,Senior (6-10 yrs),Master's,United Kingdom,Europe,GBP,Small (51-200),Technology,Full-time,Hybrid,206700,13000,0,219700,3.3,2,SQL; C++,Significant,Male
2631,2024,AI Research Scientist,Machine Learning,Mid (3-5 yrs),Master's,United States,North America,USD,Startup (1-50),Technology,Full-time,Remote,198200,3000,0,201200,5.0,0,Hugging Face; SQL,Significant,Female
2632,2021,Machine Learning Engineer,Machine Learning,Mid (3-5 yrs),PhD,France,Europe,EUR,Small (51-200),Technology,Full-time,On-site,132900,3800,0,136700,2.9,5,PyTorch; Java,Partial,Female
2633,2024,DevOps Engineer,Software Engineering,Entry (0-2 yrs),PhD,Australia,Oceania,AUD,Large (1001-10000),Media & Entertainment,Full-time,Hybrid,120700,0,0,120700,3.5,0,Hadoop; R; Scala,Significant,Male
2634,2025,Product Manager (Tech),Management,Lead (11-15 yrs),Bachelor's,Canada,North America,CAD,Enterprise (10000+),E-Commerce & Retail,Full-time,Hybrid,198300,19500,0,217800,3.3,1,Hadoop; Power BI,Experimenting,Male
2635,2023,Cloud Architect,Software Engineering,Senior (6-10 yrs),Master's,Japan,Asia,JPY,Enterprise (10000+),Media & Entertainment,Contract,Remote,218000,14800,0,232800,4.1,4,Java; LangChain; R; Excel,None,Male
2636,2023,Product Manager (Tech),Management,Executive (16+ yrs),Master's,United States,North America,USD,Enterprise (10000+),Energy & Utilities,Full-time,Hybrid,456200,76500,43300,576000,3.5,1,Rust; Kubernetes,None,Female
2637,2022,Generative AI Engineer,Machine Learning,Entry (0-2 yrs),PhD,France,Europe,EUR,Medium (201-1000),Consulting,Full-time,Hybrid,97500,2900,19400,119800,3.4,1,AWS; Spark; Power BI,Significant,Male
2638,2023,Prompt Engineer,Machine Learning,Senior (6-10 yrs),Master's,Switzerland,Europe,CHF,Enterprise (10000+),Telecommunications,Full-time,Remote,244900,13100,24200,282200,3.9,2,C++; Docker,Partial,Male
2639,2025,Data Scientist,Data Science,Senior (6-10 yrs),Bachelor's,Australia,Oceania,AUD,Medium (201-1000),E-Commerce & Retail,Freelance,On-site,178400,15000,0,193400,2.0,0,AWS; PyTorch; TensorFlow; JavaScript,AI-First,Male
2640,2020,Software Engineer,Software Engineering,Mid (3-5 yrs),Master's,United States,North America,USD,Medium (201-1000),Healthcare & Pharma,Full-time,Hybrid,165500,1300,59500,226300,2.8,3,C++; Python; Spark,Significant,Prefer not to say
2641,2022,Full Stack Developer,Software Engineering,Lead (11-15 yrs),Bachelor's,Japan,Asia,JPY,Startup (1-50),Finance & Banking,Contract,Remote,159700,19800,22400,201900,3.4,3,dbt; LangChain; Spark; Python; Kafka,Partial,Male
2642,2025,Database Administrator,Data Engineering,Lead (11-15 yrs),High School,Australia,Oceania,AUD,Large (1001-10000),Technology,Contract,Hybrid,240200,33900,86200,360300,2.8,1,Airflow; OpenCV,None,Male
2643,2025,Business Intelligence Analyst,Data Science,Mid (3-5 yrs),PhD,France,Europe,EUR,Medium (201-1000),E-Commerce & Retail,Contract,Remote,97900,1900,16700,116500,3.6,1,Airflow; Power BI; Scala; Hugging Face; LangChain,Partial,Male
2644,2025,Business Intelligence Analyst,Data Science,Mid (3-5 yrs),Master's,Germany,Europe,EUR,Enterprise (10000+),Technology,Full-time,Remote,124200,16600,0,140800,3.4,0,Hadoop; R,Partial,Male
2645,2024,Cloud Architect,Software Engineering,Mid (3-5 yrs),Master's,United States,North America,USD,Enterprise (10000+),Technology,Full-time,Hybrid,302100,13000,85900,401000,4.2,4,GCP; OpenCV; SQL; Tableau,Experimenting,Male
2646,2023,NLP Engineer,Machine Learning,Mid (3-5 yrs),Bachelor's,Germany,Europe,EUR,Medium (201-1000),Consulting,Freelance,Hybrid,155700,10100,0,165800,3.4,2,Spark; Kubernetes; GCP; LangChain,Experimenting,Male
2647,2023,Full Stack Developer,Software Engineering,Lead (11-15 yrs),Master's,Poland,Europe,PLN,Medium (201-1000),Technology,Full-time,On-site,116600,19300,0,135900,3.2,4,Kubernetes; LangChain; Go; dbt; R,Experimenting,Male
2648,2021,NLP Engineer,Machine Learning,Mid (3-5 yrs),Bachelor's,United States,North America,USD,Medium (201-1000),E-Commerce & Retail,Full-time,Hybrid,138800,13000,0,151800,3.7,1,Python; Power BI; Kafka; Airflow,Significant,Male
2649,2021,Data Scientist,Data Science,Mid (3-5 yrs),PhD,Netherlands,Europe,EUR,Enterprise (10000+),Education & Research,Full-time,Remote,125400,5300,7900,138600,3.5,4,Excel; Scala; Hadoop; R; Kafka,Experimenting,Male
2650,2024,Prompt Engineer,Machine Learning,Mid (3-5 yrs),Bachelor's,Germany,Europe,EUR,Medium (201-1000),Technology,Full-time,On-site,125100,7400,45100,177600,2.7,1,JavaScript; R; Tableau,Partial,Male
2651,2024,AI Product Manager,Management,Mid (3-5 yrs),Master's,Canada,North America,CAD,Medium (201-1000),E-Commerce & Retail,Full-time,Remote,160000,12000,0,172000,3.9,1,Python; Tableau,Partial,Female
2652,2024,DevOps Engineer,Software Engineering,Mid (3-5 yrs),Bachelor's,Japan,Asia,JPY,Medium (201-1000),Insurance,Full-time,Hybrid,94700,2500,0,97200,2.9,2,Python; Hadoop; LangChain; Hugging Face; Azure,Significant,Male
2653,2025,MLOps Engineer,Machine Learning,Entry (0-2 yrs),Bachelor's,Canada,North America,CAD,Large (1001-10000),Technology,Full-time,Hybrid,85400,8100,0,93500,3.2,0,Kubernetes; GCP,Significant,Female
2654,2023,MLOps Engineer,Machine Learning,Entry (0-2 yrs),PhD,India,Asia,INR,Large (1001-10000),Automotive,Full-time,Remote,32800,3100,6600,42500,3.9,2,Azure; JavaScript,Experimenting,Female
2655,2023,Backend Developer,Software Engineering,Mid (3-5 yrs),Master's,UAE,Asia,AED,Enterprise (10000+),Insurance,Contract,Remote,140600,2900,0,143500,3.7,0,JavaScript; Rust; Kubernetes,AI-First,Male
2656,2022,Quantitative Analyst,Data Science,Senior (6-10 yrs),Bachelor's,Germany,Europe,EUR,Startup (1-50),Technology,Part-time,Remote,94000,13600,0,107600,2.1,5,Airflow; Kubernetes; Kafka; TensorFlow; R,Partial,Female
2657,2025,Cybersecurity Analyst,Cybersecurity,Mid (3-5 yrs),Master's,India,Asia,INR,Large (1001-10000),Healthcare & Pharma,Full-time,Remote,37400,800,0,38200,2.6,0,Excel; LangChain; PyTorch,Significant,Female
2658,2022,AI Research Scientist,Machine Learning,Lead (11-15 yrs),Bachelor's,Germany,Europe,EUR,Medium (201-1000),Healthcare & Pharma,Full-time,On-site,272900,34900,0,307800,3.5,0,GCP; Excel; Java; Go; Kafka,Partial,Female
2659,2022,MLOps Engineer,Machine Learning,Entry (0-2 yrs),PhD,Switzerland,Europe,CHF,Medium (201-1000),Finance & Banking,Full-time,Remote,181000,15700,70100,266800,2.8,1,Go; JavaScript; OpenCV; Java,Partial,Male
2660,2023,Database Administrator,Data Engineering,Mid (3-5 yrs),Master's,Singapore,Asia,SGD,Enterprise (10000+),Healthcare & Pharma,Full-time,Remote,133500,8600,43600,185700,3.8,0,Azure; Rust; Airflow; Hadoop; Python,Significant,Male
2661,2023,DevOps Engineer,Software Engineering,Entry (0-2 yrs),Master's,Switzerland,Europe,CHF,Large (1001-10000),Consulting,Full-time,Remote,113000,10100,0,123100,3.2,2,PyTorch; dbt; TensorFlow; Scala,Experimenting,Male
2662,2022,Cloud Architect,Software Engineering,Entry (0-2 yrs),Bachelor's,United States,North America,USD,Large (1001-10000),Insurance,Full-time,On-site,117400,2900,0,120300,3.1,0,Kubernetes; dbt,None,Male
2663,2024,Data Engineer,Data Engineering,Entry (0-2 yrs),Master's,United States,North America,USD,Large (1001-10000),Education & Research,Full-time,Hybrid,100200,2000,0,102200,3.2,2,Hugging Face; JavaScript; OpenCV,Partial,Female
2664,2023,AI Research Scientist,Machine Learning,Senior (6-10 yrs),Master's,United States,North America,USD,Small (51-200),E-Commerce & Retail,Full-time,Remote,223500,29600,50100,303200,3.8,1,R; Go,Partial,Male
2665,2022,Engineering Manager,Management,Lead (11-15 yrs),Bachelor's,United States,North America,USD,Small (51-200),Consulting,Contract,Remote,346200,36000,28200,410400,3.7,3,AWS; Go; Excel,Partial,Female
2666,2020,Database Administrator,Data Engineering,Senior (6-10 yrs),Master's,United States,North America,USD,Medium (201-1000),Technology,Full-time,On-site,225600,20800,0,246400,3.9,2,Power BI; Hugging Face; R; Tableau,AI-First,Male
2667,2020,Data Engineer,Data Engineering,Mid (3-5 yrs),Bachelor's,Germany,Europe,EUR,Large (1001-10000),Media & Entertainment,Freelance,On-site,107600,5400,36700,149700,3.2,3,Java; AWS,AI-First,Female
2668,2025,AI Research Scientist,Machine Learning,Lead (11-15 yrs),Master's,India,Asia,INR,Large (1001-10000),Media & Entertainment,Contract,Remote,101100,6700,0,107800,3.4,7,C++; OpenCV; Airflow; Scala,Partial,Female
2669,2023,Cloud Architect,Software Engineering,Senior (6-10 yrs),Bachelor's,Australia,Oceania,AUD,Startup (1-50),Telecommunications,Part-time,Remote,93700,8100,13700,115500,2.8,2,Tableau; Java; R; Kafka; Docker,None,Male
2670,2024,Analytics Engineer,Data Engineering,Lead (11-15 yrs),Master's,Saudi Arabia,Asia,SAR,Enterprise (10000+),Technology,Full-time,Remote,217800,33200,0,251000,3.1,0,Kubernetes; Rust,Experimenting,Prefer not to say
2671,2025,Business Intelligence Analyst,Data Science,Senior (6-10 yrs),Master's,United States,North America,USD,Large (1001-10000),Telecommunications,Full-time,Remote,208500,18100,0,226600,3.7,2,R; PyTorch; JavaScript; TensorFlow,Partial,Male
2672,2025,Data Analyst,Data Science,Mid (3-5 yrs),Master's,United States,North America,USD,Small (51-200),Finance & Banking,Full-time,Remote,135400,2600,0,138000,4.3,1,PyTorch; Spark; Power BI; Excel; GCP,Partial,Male
2673,2025,MLOps Engineer,Machine Learning,Senior (6-10 yrs),Bachelor's,United States,North America,USD,Large (1001-10000),Media & Entertainment,Full-time,Hybrid,210800,21700,0,232500,3.3,0,LangChain; Go; R,Significant,Male
